lemma,level,english,example_de,example_en,comparative,superlative,approved,sources_csv,source_notes
romantisch,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/romantisch
rund,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/rund
sauber,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/sauber
sauer,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/sauer
schade,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/schade
scharf,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/scharf
schlimm,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/schlimm
schmutzig,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/schmutzig
schrecklich,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/schrecklich
schriftlich,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/schriftlich
schwach,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/schwach
schwanger,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/schwanger
schwierig,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/schwierig
schädlich,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/sch%C3%A4dlich
sonnig,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/sonnig
sportlich,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/sportlich
stark,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/stark
streng,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/streng
stressig,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/stressig
super,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/super
sympathisch,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/sympathisch
süß,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/s%C3%BC%C3%9F
tief,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/tief
toll,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/toll
total,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/total
traurig,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/traurig
trocken,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/trocken
typisch,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/typisch
unbedingt,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/unbedingt
verschieden,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/verschieden
voll,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/voll
wach,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/wach
wahr,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/wahr
wahrscheinlich,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/wahrscheinlich
warm,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/warm
weich,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/weich
windig,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/windig
wirklich,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/wirklich
witzig,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/witzig
wurscht,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/wurscht
wurst,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/wurst
abhängig,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/abh%C3%A4ngig
absolut,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/absolut#1
abwesend,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/abwesend
allerbest,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/allerbest
allerschönst,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/allersch%C3%B6nst
allgemein,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/allgemein
alltäglich,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/allt%C3%A4glich
alternativ,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/alternativ
angenehm,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/angenehm
anwesend,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/anwesend
aufmerksam,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/aufmerksam
bereit,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/bereit
beruflich,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/beruflich
berufstätig,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/berufst%C3%A4tig
besonder,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/besonder
