lemma,level,english,example_de,example_en,comparative,superlative,approved,sources_csv,source_notes
jemals,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/jemals
jeweils,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/jeweils
kaum,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/kaum
los,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/los
längst,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/l%C3%A4ngst
miteinander,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/miteinander
mitten,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/mitten
mittlerweile,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/mittlerweile
möglicherweise,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/m%C3%B6glicherweise
möglichst,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/m%C3%B6glichst
nachher,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/nachher
nebenbei,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/nebenbei
neulich,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/neulich
nirgendwo,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/nirgendwo
noch mal,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/noch%20mal#1
nochmal,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/nochmal#1
nochmals,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/nochmals
normalerweise,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/normalerweise
nun,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/nun#1
quer,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/quer
rauf,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/rauf
rückwärts,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/r%C3%BCckw%C3%A4rts
schließlich,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/schlie%C3%9Flich
spätestens,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/sp%C3%A4testens
teilweise,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/teilweise#1
umsonst,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/umsonst
voneinander,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/voneinander
voraus,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/voraus
vorhin,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/vorhin
weshalb,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/weshalb
wieso,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/wieso
zumindest,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/zumindest
überhaupt,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/%C3%BCberhaupt
übrigens,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/%C3%BCbrigens
